id,departamento,municipio,year,hombres_rural,hombres_urbano,mujeres_rural,mujeres_urbano
617,"02 - S A N T A     A N A","06- El Porvenir",2009,26,37,50,44
618,"02 - S A N T A     A N A","07- Masahuat",2009,16,9,18,14
619,"02 - S A N T A     A N A","08- Metapán",2009,462,406,164,173
620,"02 - S A N T A     A N A","09- San Antonio Pajonal",2009,21,20,11,11
621,"02 - S A N T A     A N A","10- San Sebastián Salitrillo",2009,84,70,57,75
622,"02 - S A N T A     A N A","11- Santa Rosa Guachipilín",2009,18,7,19,26
623,"02 - S A N T A     A N A","12- Santiago de la Frontera",2009,20,26,28,32
624,"02 - S A N T A     A N A","13- Texistepeque",2009,46,39,183,148
625,"03 - S O N S O N A T E","01- Sonsonate",2009,713,616,151,143
626,"03 - S O N S O N A T E","02- Acajutla",2009,253,209,287,268
627,"03 - S O N S O N A T E","03- Armenia",2009,234,220,75,75
628,"03 - S O N S O N A T E","04- Caluco",2009,39,39,63,65
629,"03 - S O N S O N A T E","05- Cuisnahuat",2009,44,39,76,61
630,"03 - S O N S O N A T E","06- Izalco",2009,221,194,509,481
631,"03 - S O N S O N A T E","07- Juayúa",2009,154,145,81,77
632,"03 - S O N S O N A T E","08- Nahuizalco",2009,205,172,336,316
633,"03 - S O N S O N A T E","09- Nahulingo",2009,75,57,28,35
634,"03 - S O N S O N A T E","10- Salcoatitán",2009,48,36,3,6
635,"03 - S O N S O N A T E","11- San Antonio del Monte",2009,179,175,79,63
636,"03 - S O N S O N A T E","12- San Julián",2009,70,72,143,137
637,"03 - S O N S O N A T E","13- Santa Catarina Masahuat",2009,71,56,40,27
638,"03 - S O N S O N A T E","14- Santa Isabel Ishuatán",2009,31,20,73,68
639,"03 - S O N S O N A T E","15- Santo Domingo de Guzmán",2009,26,33,37,25
640,"03 - S O N S O N A T E","16- Sonzacate",2009,208,179,0,0
641,"04 - CHALATENANGO","01- Chalatenango",2009,203,173,73,43
642,"04 - CHALATENANGO","02- Agua Caliente",2009,37,35,57,43
643,"04 - CHALATENANGO","03- Arcatao",2009,14,11,15,15
644,"04 - CHALATENANGO","04- Azacualpa",2009,11,11,3,2
645,"04 - CHALATENANGO","05- Cancasque",2009,11,8,5,3
646,"04 - CHALATENANGO","06- Citalá",2009,31,19,26,20
647,"04 - CHALATENANGO","07- Comalapa",2009,14,6,19,18
648,"04 - CHALATENANGO","08- Concepción Quezaltepeque",2009,43,40,15,10
649,"04 - CHALATENANGO","09- Dulce Nombre de María",2009,16,9,19,22
650,"04 - CHALATENANGO","10- El Carrizal",2009,10,4,21,25
651,"04 - CHALATENANGO","11- El Paraíso",2009,59,43,40,50
652,"04 - CHALATENANGO","12- La Laguna",2009,12,15,18,15
653,"04 - CHALATENANGO","13- La Palma",2009,47,39,89,78
654,"04 - CHALATENANGO","14- La Reina",2009,62,44,15,15
655,"04 - CHALATENANGO","15- Las Flores",2009,7,6,6,5
656,"04 - CHALATENANGO","16- Las Vueltas",2009,7,8,7,1
657,"04 - CHALATENANGO","17- Nombre de Jesús",2009,10,11,22,24
658,"04 - CHALATENANGO","18- Nueva Concepción",2009,119,122,227,184
659,"04 - CHALATENANGO","19- Nueva Trinidad",2009,2,5,9,17
660,"04 - CHALATENANGO","20- Ojos de Agua",2009,11,5,13,10
661,"04 - CHALATENANGO","21- Potonico",2009,11,9,7,3
662,"04 - CHALATENANGO","22- San Antonio de la Cruz",2009,10,5,8,8
663,"04 - CHALATENANGO","23- San Antonio los Ranchos",2009,11,6,0,0
664,"04 - CHALATENANGO","24- San Fernando",2009,6,11,18,7
665,"04 - CHALATENANGO","25- San Francisco Lempa",2009,5,7,0,1
666,"04 - CHALATENANGO","26- San Francisco Morazán",2009,8,5,22,8
667,"04 - CHALATENANGO","27- San Ignacio",2009,16,14,64,61
668,"04 - CHALATENANGO","28- San Isidro Labrador",2009,5,3,2,2
669,"04 - CHALATENANGO","29- San Luis del Carmen",2009,2,2,8,4
670,"04 - CHALATENANGO","30- San Miguel de Mercedes",2009,14,8,10,2
671,"04 - CHALATENANGO","31- San Rafael",2009,10,15,19,13
672,"04 - CHALATENANGO","32- Santa Rita",2009,23,21,17,14
673,"04 - CHALATENANGO","33- Tejutla",2009,41,53,98,90
674,"05 - L A     L I B E R T A D","01- Santa Tecla",2009,879,730,107,101
675,"05 - L A     L I B E R T A D","02- Antiguo Cuscatlán",2009,139,136,0,0
676,"05 - L A     L I B E R T A D","03- Ciudad Arce",2009,273,236,303,228
677,"05 - L A     L I B E R T A D","04- Colón",2009,784,632,13,12
678,"05 - L A     L I B E R T A D","05- Comasagua",2009,55,49,79,80
679,"05 - L A     L I B E R T A D","06- Chiltiupán",2009,29,27,85,73
680,"05 - L A     L I B E R T A D","07- Huizúcar",2009,51,37,67,47
681,"05 - L A     L I B E R T A D","08- Jayaque",2009,122,116,11,7
682,"05 - L A     L I B E R T A D","09- Jicalapa",2009,53,51,42,32
683,"05 - L A     L I B E R T A D","10- La Libertad",2009,203,191,227,244
684,"05 - L A     L I B E R T A D","11- Nuevo Cuscatlán",2009,79,60,0,0
685,"05 - L A     L I B E R T A D","12- San Juan Opico",2009,175,174,409,379
686,"05 - L A     L I B E R T A D","13- Quezaltepeque",2009,446,383,30,21
687,"05 - L A     L I B E R T A D","14- Sacacoyo",2009,42,38,76,84
688,"05 - L A     L I B E R T A D","15- San José Villanueva",2009,42,39,94,87
689,"05 - L A     L I B E R T A D","16- San Matías",2009,27,21,55,34
690,"05 - L A     L I B E R T A D","17- San Pablo Tacachico",2009,49,46,183,137
691,"05 - L A     L I B E R T A D","18- Talnique",2009,39,17,55,40
692,"05 - L A     L I B E R T A D","19- Tamanique",2009,55,42,84,78
693,"05 - L A     L I B E R T A D","20- Teotepeque",2009,28,27,86,75
694,"05 - L A     L I B E R T A D","21- Tepecoyo",2009,69,54,53,54
695,"05 - L A     L I B E R T A D","22- Zaragoza",2009,166,149,19,26
696,"06 - S A N    S A L V A D O R","01- San Salvador",2009,3313,2944,0,0
697,"06 - S A N    S A L V A D O R","02- Aguilares",2009,195,149,8,8
698,"06 - S A N    S A L V A D O R","03- Apopa",2009,1177,1016,0,0
699,"06 - S A N    S A L V A D O R","04- Ayutuxtepeque",2009,263,227,0,0
700,"06 - S A N    S A L V A D O R","05- Cuscatancingo",2009,630,576,0,0
701,"06 - S A N    S A L V A D O R","06- Delgado",2009,741,717,13,13
702,"06 - S A N    S A L V A D O R","07- El Paísnal",2009,30,26,97,80
703,"06 - S A N    S A L V A D O R","08- Guazapa",2009,202,150,22,27
704,"06 - S A N    S A L V A D O R","09- Ilopango",2009,868,729,0,0
705,"06 - S A N    S A L V A D O R","10- Mejicanos",2009,1109,1020,0,0
706,"06 - S A N    S A L V A D O R","11- Nejapa",2009,116,113,144,138
707,"06 - S A N    S A L V A D O R","12- Panchimalco",2009,280,233,212,183
708,"06 - S A N    S A L V A D O R","13- Rosario de Mora",2009,143,96,53,45
709,"06 - S A N    S A L V A D O R","14- San Marcos",2009,564,496,0,0
710,"06 - S A N    S A L V A D O R","15- San Martín",2009,619,492,140,134
711,"06 - S A N    S A L V A D O R","16- Santiago Texacuangos",2009,132,141,21,21
712,"06 - S A N    S A L V A D O R","17- Santo Tomás",2009,164,164,23,14
713,"06 - S A N    S A L V A D O R","18- Soyapango",2009,2134,1844,0,0
714,"06 - S A N    S A L V A D O R","19- Tonacatepeque",2009,497,431,72,61
715,"07 - C U S C A T L A N","01- Cojutepeque",2009,599,507,28,22
716,"07 - C U S C A T L A N","02- Candelaría",2009,41,30,47,52
717,"07 - C U S C A T L A N","03- El Carmen",2009,38,33,95,110
718,"07 - C U S C A T L A N","04- El Rosario",2009,15,10,22,24
719,"07 - C U S C A T L A N","05- Monte San Juan",2009,20,18,75,55
720,"07 - C U S C A T L A N","06- Oratorio de Concepción",2009,21,18,14,13
721,"07 - C U S C A T L A N","07- San Bartolomé Perulapía",2009,59,40,28,25
722,"07 - C U S C A T L A N","08- San Cristóbal",2009,27,17,89,80
723,"07 - C U S C A T L A N","09- San José Guayabal",2009,30,39,60,41
724,"07 - C U S C A T L A N","10- San Pedro Perulapán",2009,138,94,383,336
725,"07 - C U S C A T L A N","11- San Rafael Cedros",2009,61,53,134,104
726,"07 - C U S C A T L A N","12- San Ramón",2009,26,23,29,20
727,"07 - C U S C A T L A N","13- Santa Cruz Analquito",2009,24,18,1,4
728,"07 - C U S C A T L A N","14- Santa Cruz Michapa",2009,59,40,71,46
729,"07 - C U S C A T L A N","15- Suchitoto",2009,61,45,179,139
730,"07 - C U S C A T L A N","16- Tenancingo",2009,14,17,59,50
731,"08 - LA PAZ","01- Zacatecoluca",2009,476,423,247,196
732,"08 - LA PAZ","02- Cuyultitán",2009,41,42,5,4
733,"08 - LA PAZ","03- El Rosario",2009,83,71,50,43
734,"08 - LA PAZ","04- Jerusalén",2009,7,13,11,10
735,"08 - LA PAZ","05- Mercedes la Ceiba",2009,12,6,6,7
736,"08 - LA PAZ","06- Olocuilta",2009,185,128,143,85
737,"08 - LA PAZ","07- Paraiso de Osorio",2009,30,25,1,5
738,"08 - LA PAZ","08- San Antonio Masahuat",2009,29,24,23,15
739,"08 - LA PAZ","09- San Emigdio",2009,15,16,9,6
740,"08 - LA PAZ","10- San Francisco Chinameca",2009,43,42,16,22
741,"08 - LA PAZ","11- San Juan Nonualco",2009,81,67,87,93
742,"08 - LA PAZ","12- San Juan Talpa",2009,64,54,33,29
743,"08 - LA PAZ","13- San Juan Tepezontes",2009,15,17,12,21
744,"08 - LA PAZ","14- San Luis Talpa",2009,154,86,77,84
745,"08 - LA PAZ","15- San Luis la Herradura",2009,91,73,156,117
746,"08 - LA PAZ","16- San Miguel Tepezontes",2009,69,46,11,1
747,"08 - LA PAZ","17- San Pedro Masahuat",2009,77,69,163,136
748,"08 - LA PAZ","18- San Pedro Nonualco",2009,43,41,39,43
749,"08 - LA PAZ","19- San Rafael Obrajuelo",2009,74,51,38,38
750,"08 - LA PAZ","20- Santa María Ostuma",2009,23,19,30,38
751,"08 - LA PAZ","21- Santiago Nonualco",2009,183,111,304,269
752,"08 - LA PAZ","22- Tapalhuaca",2009,8,11,16,7
753,"09 - C A B A Ñ A S","01- Sensuntepeque",2009,245,234,249,242
754,"09 - C A B A Ñ A S","02- Cinquera",2009,10,13,11,3
755,"09 - C A B A Ñ A S","03- Dolores",2009,20,24,47,40
756,"09 - C A B A Ñ A S","04- Guacotecti",2009,17,31,52,33
757,"09 - C A B A Ñ A S","05- Ilobasco",2009,295,235,500,414
758,"09 - C A B A Ñ A S","06- Jutiapa",2009,14,15,72,54
759,"09 - C A B A Ñ A S","07- San Isidro",2009,26,22,62,50
760,"09 - C A B A Ñ A S","08- Tejutepeque",2009,29,30,33,26
761,"09 - C A B A Ñ A S","09- Victoria",2009,33,26,108,89
762,"10 - S A N    V I C E N T E","01- San Vicente",2009,442,352,100,92
763,"10 - S A N    V I C E N T E","02- Apastepeque",2009,96,92,144,112
764,"10 - S A N    V I C E N T E","03- Guadalupe",2009,41,30,13,17
765,"10 - S A N    V I C E N T E","04- San Cayetano Istepeque",2009,22,19,22,17
766,"10 - S A N    V I C E N T E","05- San Estebán Catarina",2009,29,34,21,18
767,"10 - S A N    V I C E N T E","06- San Ildefonso",2009,24,23,68,53
768,"10 - S A N    V I C E N T E","07- San Lorenzo",2009,30,13,33,34
769,"10 - S A N    V I C E N T E","08- San Sebastián",2009,61,49,67,57
770,"10 - S A N    V I C E N T E","09- Santa Clara",2009,10,12,42,42
771,"10 - S A N    V I C E N T E","10- Santo Domingo",2009,46,42,47,38
772,"10 - S A N    V I C E N T E","11- Tecoluca",2009,110,86,136,126
773,"10 - S A N    V I C E N T E","12- Tepetitán",2009,27,22,13,12
774,"10 - S A N    V I C E N T E","13- Verapaz",2009,26,23,49,41
775,"11 -  U S U L U T A N","01- Usulután",2009,639,509,212,186
776,"11 -  U S U L U T A N","02- Alegría",2009,23,17,95,74
777,"11 -  U S U L U T A N","03- Berlín",2009,107,101,96,106
778,"11 -  U S U L U T A N","04- California",2009,20,19,11,4
779,"11 -  U S U L U T A N","05- Concepción Batres",2009,45,40,74,42
780,"11 -  U S U L U T A N","06- El Triunfo",2009,50,38,31,25
781,"11 -  U S U L U T A N","07- Ereguayquín",2009,39,26,45,39
782,"11 -  U S U L U T A N","08- Estanzuelas",2009,47,48,49,48
783,"11 -  U S U L U T A N","09- Jiquilisco",2009,132,99,422,333
784,"11 -  U S U L U T A N","10- Jucuapa",2009,130,94,80,74
785,"11 -  U S U L U T A N","11- Jucuarán",2009,35,25,111,84
786,"11 -  U S U L U T A N","12- Mercedes Umaña",2009,36,29,100,77
787,"11 -  U S U L U T A N","13- Nueva Granada",2009,18,14,58,54
788,"11 -  U S U L U T A N","14- Ozatlán",2009,48,44,83,61
789,"11 -  U S U L U T A N","15- Puerto el Triunfo",2009,123,96,35,25
790,"11 -  U S U L U T A N","16- San Agustín",2009,20,13,22,21
791,"11 -  U S U L U T A N","17- San Buenaventura",2009,15,12,22,25
792,"11 -  U S U L U T A N","18- San Dionisio",2009,35,29,23,15
793,"11 -  U S U L U T A N","19- San Francisco Javier",2009,15,15,40,44
794,"11 -  U S U L U T A N","20- Santa Elena",2009,70,75,128,120
795,"11 -  U S U L U T A N","21- Santa María",2009,95,84,37,34
796,"11 -  U S U L U T A N","22- Santiago de María",2009,133,125,43,34
797,"11 -  U S U L U T A N","23- Tecapán",2009,43,33,37,28
798,"12- SAN MIGUEL","01- San Miguel",2009,2056,1882,226,219
799,"12- SAN MIGUEL","02- Carolina",2009,23,23,66,47
800,"12- SAN MIGUEL","03- Ciudad Barrios",2009,180,139,160,134
801,"12- SAN MIGUEL","04- Comacarán",2009,11,12,25,22
802,"12- SAN MIGUEL","05- Chapeltique",2009,56,46,112,79
803,"12- SAN MIGUEL","06- Chinameca",2009,98,80,152,131
804,"12- SAN MIGUEL","07- Chirilagua",2009,104,80,121,120
805,"12- SAN MIGUEL","08- El Tránsito",2009,144,130,83,59
806,"12- SAN MIGUEL","09- Lolotique",2009,58,50,109,98
807,"12- SAN MIGUEL","10- Moncagua",2009,48,37,214,176
808,"12- SAN MIGUEL","11- Nueva Guadalupe",2009,77,55,6,4
809,"12- SAN MIGUEL","12- Nuevo Edén de San Juan",2009,7,7,27,32
810,"12- SAN MIGUEL","13- Quelepa",2009,40,20,28,30
811,"12- SAN MIGUEL","14- San Antonio",2009,18,15,34,32
812,"12- SAN MIGUEL","15- San Gerardo",2009,24,17,28,34
813,"12- SAN MIGUEL","16- San Jorge",2009,58,41,56,44
814,"12- SAN MIGUEL","17- San Luis de la Reina",2009,15,12,46,29
